chrom,start,end,symbol,id,num_snps,ens_g,num_wins_2500bp,num_snps_2500bp
1,156611739,156629324,BCAN,63827,34.0,ENSG00000132692,1,42
1,156564099,156571279,GPATCH4,54865,39.0,ENSG00000160818,2,66
1,156549518,156556562,TTC24,164118,25.0,ENSG00000187862,1,36
1,156495196,156542396,IQGAP3,128239,88.0,ENSG00000183856,3,104
1,156433512,156460391,MEF2D,4209,57.0,ENSG00000116604,2,60
1,156390132,156390221,MIR9-1,407046,0.0,ENSG00000207933,1,5
1,156338979,156355013,RHBG,57127,54.0,ENSG00000132677,2,61
1,156776034,156786640,SH2D2A,9047,21.0,ENSG00000027869,1,35
1,156307104,156316785,TSACC,128229,18.0,ENSG00000163467,1,22
1,156268414,156269428,VHLL,391104,2.0,ENSG00000189030,1,10
1,156254069,156262234,TMEM79,84283,13.0,ENSG00000163472,1,24
1,156219014,156252620,SMG5,23381,90.0,ENSG00000198952,2,92
1,156213111,156217908,PAQR6,79957,7.0,ENSG00000160781,1,15
1,156211950,156213123,BGLAP,632,0.0,ENSG00000242252,1,9
1,156182778,156213123,PMF1-BGLAP,100527963,93.0,ENSG00000260238,2,91
1,156163729,156182587,SLC25A44,9673,32.0,ENSG00000160785,1,45
1,156123321,156147542,SEMA4A,64218,41.0,ENSG00000196189,2,51
1,156041803,156051789,MEX3A,92312,17.0,ENSG00000254726,1,22
1,156030965,156040295,RAB25,57111,5.0,ENSG00000132698,1,11
1,156024516,156028605,LAMTOR2,28956,8.0,ENSG00000116586,1,13
1,156005091,156023516,UBQLN4,56893,27.0,ENSG00000160803,1,32
1,155978838,155990758,SSR2,6746,21.0,ENSG00000163479,1,26
1,156278751,156308206,CCT3,7203,92.0,ENSG00000163468,2,78
1,155006281,155023406,DCST1,149095,26.0,ENSG00000163357,1,32
1,160287054,160288260,SUMO1P3,474338,2.0,ENSG00000256340,1,5
1,160336860,160342638,NHLH1,4807,14.0,ENSG00000171786,1,17
1,168664694,168698442,DPT,1805,157.0,ENSG00000143196,4,178
1,168545710,168551315,XCL1,6375,24.0,ENSG00000143184,1,50
1,168510002,168513235,XCL2,6846,15.0,ENSG00000143185,1,38
1,168369426,168391894,LOC100505918,100505918,47.0,None,1,50
1,168344761,168344859,MIR557,693142,0.0,ENSG00000207974,1,10
1,168214818,168216668,ANKRD36BP1,84832,4.0,ENSG00000214262,1,13
1,168195254,168212088,SFT2D2,375035,27.0,ENSG00000213064,1,36
1,168250277,168283664,TBX19,9095,100.0,ENSG00000143178,2,98
1,168148170,168171351,TIPRL,261726,76.0,ENSG00000143155,2,74
1,168048779,168106811,GPR161,23432,128.0,ENSG00000143147,3,114
1,167905796,168045083,DCAF6,55827,204.0,ENSG00000143164,4,183
1,167885912,167906307,MPC2,25874,26.0,ENSG00000143158,1,30
1,167778624,167883453,ADCY10,55811,376.0,ENSG00000143199,8,362
1,167691186,167761156,MPZL1,9019,213.0,ENSG00000197965,5,211
1,167599473,167675486,RCSD1,92241,305.0,ENSG00000198771,6,290
1,167510250,167523056,CREG1,8804,50.0,ENSG00000143162,2,65
1,167399876,167487847,CD247,919,312.0,ENSG00000198821,7,304
1,167190065,167396582,POU2F1,5451,429.0,ENSG00000143190,8,384
1,167022081,167059868,GPA33,10223,120.0,ENSG00000143167,3,123
1,166958518,166991447,MAEL,84944,92.0,ENSG00000143194,2,94
1,166882440,166944561,ILDR2,387597,118.0,ENSG00000143195,3,120
1,166825748,166845654,TADA1,117143,70.0,ENSG00000152382,2,70
1,166808723,166823709,POGK,57645,25.0,ENSG00000143157,1,34
1,166573152,166594473,FMO9P,116123,80.0,ENSG00000215834,2,96
1,166123979,166124035,MIR921,100126349,0.0,ENSG00000215952,1,13
1,165796731,165880855,UCK2,7371,154.0,ENSG00000143179,4,151
1,165693527,165738159,TMCO1,54499,102.0,ENSG00000143183,2,96
1,168756178,168762126,LINC00626,79100,12.0,ENSG00000225826,1,20
1,169075946,169101960,ATP1B1,481,104.0,ENSG00000143153,3,113
1,169101768,169337186,NME7,29922,1000.0,ENSG00000143156,19,901
1,169337193,169365780,BLZF1,8548,94.0,ENSG00000117475,3,101
1,171810617,172381857,DNM3,26052,1443.0,ENSG00000197959,27,1317
1,171669295,171711379,VAMP4,8674,123.0,ENSG00000117533,3,121
1,171604556,171621773,MYOC,4653,79.0,ENSG00000034971,2,92
1,171454665,171562650,PRRC2C,23215,285.0,ENSG00000117523,6,266
1,171308034,171310463,TOP1P1,7151,3.0,ENSG00000281879,1,17
1,171283485,171311223,FMO4,2329,41.0,ENSG00000076258,1,49
1,171217662,171255113,FMO1,2326,120.0,ENSG00000010932,3,120
1,171154387,171181822,FMO2,2327,175.0,ENSG00000094963,4,166
1,171106878,171130702,FMO6P,388714,108.0,ENSG00000117507,3,115
1,171070879,171070939,MIR1295B,100847009,0.0,ENSG00000283598,1,19
1,171070868,171070947,MIR1295A,100302178,0.0,ENSG00000221390,1,19
1,171060017,171086959,FMO3,2328,122.0,ENSG00000007933,3,140
1,170904611,171033906,MROH9,80133,463.0,ENSG00000117501,9,446
1,165667986,165679199,LOC440700,440700,45.0,ENSG00000215838,2,57
1,170633312,170708541,PRRX1,5396,131.0,ENSG00000116132,3,132
1,170120518,170120603,MIR3119-2,100423010,0.0,ENSG00000263390,1,10
1,170120518,170120603,MIR3119-1,100422839,0.0,ENSG00000283340,1,10
1,170115187,170136923,METTL11B,149281,74.0,ENSG00000203740,2,75
1,169890469,170043879,KIFAP3,22920,499.0,ENSG00000075945,10,451
1,169822214,169863100,SCYL3,57147,161.0,ENSG00000000457,4,153
1,169764549,169822229,C1orf112,55732,233.0,ENSG00000000460,5,224
1,169761669,169764061,METTL18,92342,7.0,ENSG00000171806,1,29
1,169691780,169703220,SELE,6401,64.0,ENSG00000007908,2,98
1,169659805,169680843,SELL,6402,100.0,ENSG00000188404,3,113
1,169558087,169599377,SELP,6403,127.0,ENSG00000174175,3,133
1,169481191,169555769,F5,2153,332.0,ENSG00000198734,7,323
1,169433148,169455208,SLC19A2,10560,41.0,ENSG00000117479,2,51
1,169364113,169396670,CCDC181,57821,114.0,ENSG00000117477,3,118
1,170501262,170522974,GORAB,92344,35.0,ENSG00000120370,1,37
1,160313062,160328742,NCSTN,23385,46.0,ENSG00000162736,2,51
1,165631448,165667900,ALDH9A1,223,173.0,ENSG00000143149,4,172
1,165513477,165533185,LRRC52,440699,84.0,ENSG00000162763,3,101
1,161196975,161197051,MIR5187,100847090,0.0,ENSG00000284035,1,7
1,161195832,161200407,TOMM40L,84134,5.0,ENSG00000158882,1,19
1,161192082,161193418,APOA2,336,2.0,ENSG00000158874,1,21
1,161185086,161189038,FCER1G,2207,10.0,ENSG00000158869,1,28
1,161171936,161184184,NDUFS2,4720,23.0,ENSG00000158864,1,32
1,161159537,161168845,ADAMTS4,9507,22.0,ENSG00000158859,1,28
1,161141099,161147758,B4GALT3,8703,9.0,ENSG00000158850,1,17
1,161136180,161141010,PPOX,5498,10.0,ENSG00000143224,1,16
1,161129253,161135516,USP21,27005,5.0,ENSG00000143258,1,14
1,161123533,161128646,UFC1,51506,9.0,ENSG00000143222,1,19
1,161090768,161102256,DEDD,9191,14.0,ENSG00000158796,1,20
1,161087861,161090984,NIT1,4817,6.0,ENSG00000158793,1,9
1,161070345,161087866,PFDN2,5202,37.0,ENSG00000143256,1,46
1,161068180,161070138,KLHDC9,126823,5.0,ENSG00000162755,1,13
1,161016731,161039760,ARHGAP30,257106,59.0,ENSG00000186517,2,61
1,161009040,161014727,USF1,7391,25.0,ENSG00000158773,1,31
1,160965000,160991133,F11R,50848,81.0,ENSG00000158769,2,87
1,160914815,160924589,ITLN2,142683,24.0,ENSG00000158764,1,45
1,160846329,160854960,ITLN1,55600,31.0,ENSG00000179914,1,47
1,160799949,160832692,CD244,51744,92.0,ENSG00000122223,3,101
1,160765863,160798045,LY9,4063,94.0,ENSG00000122224,2,97
1,160709076,160724601,SLAMF7,57823,33.0,ENSG00000026751,1,39
1,160650211,160681641,CD48,962,145.0,ENSG00000117091,4,156
1,160579890,160617081,SLAMF1,6504,106.0,ENSG00000117090,3,112
1,160510883,160549306,CD84,8832,130.0,ENSG00000066294,3,147
1,160454819,160493052,SLAMF6,114836,94.0,ENSG00000162739,3,106
1,160370363,160398468,VANGL2,57216,74.0,ENSG00000162738,2,74
1,161199455,161208000,NR1I3,9970,34.0,ENSG00000143257,1,35
1,161228516,161255240,PCP4L1,654790,124.0,ENSG00000248485,3,131
1,161274524,161279762,MPZ,4359,13.0,ENSG00000158887,1,29
1,161284165,161334535,SDHC,6391,288.0,ENSG00000143252,6,271
1,165370158,165414592,RXRG,6258,196.0,ENSG00000143171,5,202
1,165171103,165325478,LMX1A,4009,546.0,ENSG00000162761,11,507
1,164528596,164821060,PBX1,5087,797.0,ENSG00000185630,15,717
1,163291722,163325553,NUF2,83540,158.0,ENSG00000143228,3,148
1,163112088,163172963,RGS5,8490,239.0,ENSG00000232995,5,229
1,163038395,163046592,RGS4,5999,15.0,ENSG00000117152,1,25
1,162760495,162782608,HSD17B7,51478,42.0,ENSG00000132196,1,49
1,162602227,162750247,DDR2,4921,398.0,ENSG00000162733,8,372
1,162531295,162569633,UAP1,6675,77.0,ENSG00000117143,2,80
1,162467594,162499419,UHMK1,127933,91.0,ENSG00000152332,2,81
1,162365055,162381928,SH2D1B,117157,67.0,ENSG00000198574,2,76
1,162348695,162356608,C1orf226,400793,29.0,ENSG00000239887,1,40
1,162312335,162312430,MIR556,693141,0.0,ENSG00000207729,1,20
1,165600109,165625372,MGST3,4259,107.0,ENSG00000143198,3,136
1,162126896,162126972,MIR4654,100616386,0.0,ENSG00000266144,1,12
1,161952981,161993644,OLFML2B,25903,142.0,ENSG00000162745,3,136
1,161736033,161933860,ATF6,22926,627.0,ENSG00000118217,13,602
1,161719580,161726952,DUSP12,11266,31.0,ENSG00000081721,1,46
1,161692442,161697933,FCRLB,127943,23.0,ENSG00000162746,2,54
1,161676761,161684142,FCRLA,84824,33.0,ENSG00000132185,2,63
1,161653494,161655042,RPL31P11,641311,7.0,ENSG00000213075,1,19
1,161632904,161648444,FCGR2B,2213,24.0,ENSG00000072694,1,29
1,161592987,161601252,FCGR3B,2215,3.0,ENSG00000162747,1,6
1,161575848,161578341,HSPA7,3311,1.0,ENSG00000288338,1,5
1,161551128,161571010,FCGR2C,9103,5.0,ENSG00000229186,1,6
1,161511550,161519818,FCGR3A,2214,19.0,ENSG00000203747,1,29
1,161494035,161496687,HSPA6,3310,8.0,ENSG00000173110,1,19
1,161475204,161489360,FCGR2A,2212,46.0,ENSG00000143226,2,53
1,162039580,162339813,NOS1AP,9722,1184.0,ENSG00000198929,23,1106
1,172106018,172113975,DNM3OS,100628315,11.0,ENSG00000196115,1,15
1,154991002,155006257,DCST2,127579,31.0,ENSG00000163354,1,39
1,154966061,154966791,LENEP,55891,0.0,ENSG00000163352,1,9
1,149874871,149889434,SV2A,9900,20.0,ENSG00000159164,1,28
1,149871154,149872348,BOLA1,51027,2.0,ENSG00000178096,1,13
1,149754249,149764074,FCGR1A,2209,0.0,ENSG00000150337,0,0
1,148806014,148806799,PPIAL4F,728945,0.0,ENSG00000275974,0,0
1,148644010,148644795,PPIAL4E,730262,0.0,ENSG00000271567,0,0
1,148560846,148596267,NBPF15,284565,2.0,ENSG00000266338,1,2
1,148201751,148202536,PPIAL4D,645142,0.0,ENSG00000289549,0,0
1,147806602,147806678,MIR5087,100847044,0.0,ENSG00000283676,1,10
1,148250248,148346791,NBPF14,25832,0.0,ENSG00000270629,0,0
1,147400505,147465755,GPR89B,51463,5.0,ENSG00000188092,1,8
1,147374945,147381395,GJA8,2703,27.0,ENSG00000121634,1,40
1,147228331,147232714,GJA5,2702,10.0,ENSG00000265107,1,25
1,147119167,147142634,ACP6,51205,76.0,ENSG00000162836,2,86
1,147013181,147098015,BCL9,607,283.0,ENSG00000116128,6,268
1,146853913,146989699,LINC00624,100289211,461.0,ENSG00000278811,9,425
1,146714290,146767447,CHD1L,9557,239.0,ENSG00000131778,5,232
1,146657837,146697230,FMO5,2330,230.0,ENSG00000131781,5,234
1,146626684,146644129,PRKAB2,5565,65.0,ENSG00000131791,2,74
1,146571065,146585928,NBPF13P,644861,73.0,ENSG00000241684,2,90
1,146490894,146514599,LOC728989,728989,107.0,None,3,108
1,145764594,145827103,GPR89A,653519,1.0,ENSG00000117262,1,1
1,145727665,145764206,PDZK1,5174,10.0,ENSG00000174827,1,11
1,145695797,145715565,CD160,11126,24.0,ENSG00000117281,1,25
1,145611035,145688776,RNF115,27246,123.0,ENSG00000265491,3,118
1,145592604,145610884,POLR3C,10623,24.0,ENSG00000186141,1,27
1,145586492,145589435,NUDT17,200035,6.0,ENSG00000186364,1,9
1,145575987,145586546,PIAS3,10401,5.0,ENSG00000131788,1,11
1,149895208,149900144,SF3B4,10262,11.0,ENSG00000143368,1,18
1,149900542,149908791,MTMR11,10903,16.0,ENSG00000014914,1,23
1,149912231,149982686,OTUD7B,56957,89.0,ENSG00000264522,2,84
1,150039341,150117505,VPS45,11311,110.0,ENSG00000136631,3,112
1,151104162,151119140,SEMA6C,10500,41.0,ENSG00000143434,1,50
1,151043079,151091007,GABPB2,126626,130.0,ENSG00000143458,3,128
1,151032150,151040973,MLLT11,10962,13.0,ENSG00000213190,1,21
1,151023446,151032125,CDC42SE1,56882,15.0,ENSG00000197622,1,15
1,151020258,151023871,C1orf56,54964,1.0,ENSG00000143443,1,10
1,151009028,151020076,BNIPL,149428,31.0,ENSG00000163141,1,38
1,150954498,150968114,ANXA9,8416,39.0,ENSG00000143412,1,45
1,150937648,150947479,CERS2,29956,26.0,ENSG00000143418,1,37
1,150898814,150937220,SETDB1,9869,77.0,ENSG00000143379,2,82
1,150782180,150849244,ARNT,405,123.0,ENSG00000143437,3,107
1,150768683,150780917,CTSK,1513,12.0,ENSG00000143387,1,20
1,150702671,150738433,CTSS,1520,84.0,ENSG00000163131,2,81
1,150670534,150693364,HORMAD1,84072,70.0,ENSG00000143452,2,77
1,145549208,145568526,ANKRD35,148741,43.0,ENSG00000198483,2,58
1,150618700,150669672,GOLPH3L,55204,154.0,ENSG00000143457,3,141
1,150547026,150552214,MCL1,4170,9.0,ENSG00000143384,1,27
1,150524404,150524490,MIR4257,100422997,0.0,ENSG00000264553,1,6
1,150521897,150533412,ADAMTSL4,54507,29.0,ENSG00000143382,1,31
1,150480486,150486265,ECM1,1893,15.0,ENSG00000143369,1,25
1,150459839,150480085,TARS2,80222,71.0,ENSG00000143374,2,78
1,150336989,150449041,RPRD2,23248,394.0,ENSG00000163125,8,352
1,150293927,150325704,PRPF3,9129,98.0,ENSG00000117360,3,101
1,150266268,150280819,MRPS21,54460,61.0,ENSG00000266472,2,70
1,150245182,150253335,C1orf54,79630,14.0,ENSG00000118292,1,14
1,150237798,150241609,APH1A,51107,2.0,ENSG00000117362,1,7
1,150230217,150237480,CA14,23632,7.0,ENSG00000118298,1,9
1,150190716,150208504,ANP32E,81611,30.0,ENSG00000143401,1,32
1,150122169,150131825,PLEKHO1,51177,18.0,ENSG00000023902,1,27
1,150594598,150602098,ENSA,2029,13.0,ENSG00000143420,1,23
1,151138497,151142773,SCNM1,79005,3.0,ENSG00000163156,1,7
1,145524989,145543868,ITGA10,8515,23.0,ENSG00000143127,1,22
1,145507556,145513535,RBM8A,9939,4.0,ENSG00000265241,1,11
1,117910084,118068320,MAN1A2,10905,486.0,ENSG00000198162,9,440
1,117686208,117753582,VTCN1,79679,191.0,ENSG00000134258,4,188
1,117653676,117664411,TRIM45,80263,39.0,ENSG00000134253,1,48
1,117637264,117637350,MIR942,100126331,0.0,ENSG00000215930,1,6
1,117602948,117645491,TTF2,8458,103.0,ENSG00000116830,3,111
1,117544371,117579173,CD101,9398,101.0,ENSG00000134256,3,110
1,117452688,117532972,PTGFRN,5738,250.0,ENSG00000134247,5,239
1,117297085,117311851,CD2,914,31.0,ENSG00000116824,1,32
1,117214370,117214449,MIR320B1,100302117,0.0,ENSG00000261011,1,8
1,117117019,117209578,IGSF3,3321,115.0,ENSG00000143061,3,116
1,117057155,117113715,CD58,965,59.0,ENSG00000116815,2,66
1,116915794,116947396,ATP1A1,476,52.0,ENSG00000163399,2,57
1,116654375,116677861,MAB21L3,126868,74.0,ENSG00000173212,2,76
1,116519118,116612675,SLC22A15,55356,248.0,ENSG00000163393,5,234
1,116378998,116383747,NHLH2,4808,8.0,ENSG00000177551,1,26
1,116242625,116311426,CASQ2,845,351.0,ENSG00000118729,7,343
1,116184573,116240845,VANGL1,81839,189.0,ENSG00000173218,4,187
1,115828536,115880857,NGF,4803,184.0,ENSG00000134259,4,190
1,115590632,115632121,TSPAN2,10100,171.0,ENSG00000134198,4,183
1,115572444,115576930,TSHB,7252,23.0,ENSG00000134200,1,37
1,115397454,115537990,SYCP1,6847,353.0,ENSG00000198765,7,329
1,115312104,115323308,SIKE1,80143,5.0,ENSG00000052723,1,5
1,115259533,115300671,CSDE1,7812,79.0,ENSG00000009307,2,75
1,115247084,115259515,NRAS,4893,17.0,ENSG00000213281,1,18
1,115215719,115238239,AMPD1,270,67.0,ENSG00000116748,2,66
1,115127195,115212732,DENND2C,163259,220.0,ENSG00000175984,4,191
1,115110180,115124265,BCAS2,10286,33.0,ENSG00000116752,1,38
1,118406106,118472302,GDAP2,54834,53.0,ENSG00000196505,2,56
1,118472371,118503049,WDR3,10885,32.0,ENSG00000065183,1,38
1,118496287,118727848,SPAG17,200162,438.0,ENSG00000155761,9,403
1,119425665,119532179,TBX15,6913,308.0,ENSG00000092607,6,287
1,145477084,145499091,LIX1L,128077,11.0,ENSG00000271601,1,14
1,145470507,145475647,ANKRD34A,284615,5.0,ENSG00000272031,1,7
1,145456235,145470387,POLR3GL,84265,5.0,ENSG00000121851,1,7
1,145438461,145442628,TXNIP,10628,5.0,ENSG00000265972,1,10
1,145096406,145116997,SEC22B,9554,0.0,ENSG00000265808,1,2
1,144851423,144995033,PDE4DIP,9659,15.0,ENSG00000178104,1,13
1,144610814,144612727,PFN1P2,767846,0.0,ENSG00000270392,0,0
1,143915747,144094477,SRGAP2B,647135,1.0,ENSG00000196369,1,1
1,143896451,143913143,FAM72D,728833,0.0,ENSG00000215784,0,0
1,143767143,143767881,PPIAL4G,644591,0.0,ENSG00000236334,0,0
1,142697420,142713605,ANKRD20A12P,100874392,0.0,None,0,0
1,121306423,121313686,EMBP1,647121,5.0,ENSG00000231752,1,5
1,121107151,121129827,SRGAP2D,100996712,1.0,ENSG00000226121,0,0
1,145516164,145523732,PEX11B,8799,3.0,ENSG00000131779,1,6
1,120926127,120935944,FCGR1B,2210,1.0,ENSG00000151631,1,1
1,120454175,120612317,NOTCH2,4853,145.0,ENSG00000134250,3,131
1,120436155,120439147,ADAM30,11085,5.0,ENSG00000134249,1,13
1,120377387,120387503,NBPF7,343505,22.0,None,1,25
1,120336640,120354203,REG4,83998,55.0,ENSG00000134193,2,77
1,120290618,120311555,HMGCS2,3158,57.0,ENSG00000134240,2,57
1,120254418,120286849,PHGDH,26227,80.0,ENSG00000092621,2,82
1,120161999,120190390,ZNF697,90874,77.0,ENSG00000143067,2,76
1,120140324,120141914,LINC00622,644242,7.0,ENSG00000260941,1,21
1,120106502,120115199,HSD3BP4,128102,41.0,ENSG00000280751,2,56
1,120049825,120057681,HSD3B1,3283,7.0,ENSG00000203857,1,13
1,119957742,119965662,HSD3B2,3284,24.0,ENSG00000203859,1,31
1,119911401,119936751,HAO2,51179,64.0,ENSG00000116882,2,73
1,119573838,119683295,WARS2,10352,306.0,ENSG00000116874,6,293
1,120839004,120855681,FAM72B,653820,0.0,ENSG00000188610,0,0
1,154975105,154991001,ZBTB7B,51043,20.0,ENSG00000160685,1,26
1,151129104,151132225,TNFAIP8L2,79626,3.0,ENSG00000163154,1,4
1,151142462,151148547,TMOD4,29765,7.0,ENSG00000163157,1,11
1,153700566,153746555,INTS3,65123,79.0,ENSG00000143624,2,85
1,153651163,153666468,NPR1,4881,23.0,ENSG00000169418,1,22
1,153634263,153643504,ILF2,3608,12.0,ENSG00000143621,1,24
1,153631129,153634328,SNAPIN,23557,6.0,ENSG00000143553,1,12
1,153606457,153618782,CHTOP,26097,33.0,ENSG00000160679,1,43
1,153600872,153604513,S100A1,6271,9.0,ENSG00000160678,1,21
1,153591275,153600117,S100A13,6284,19.0,ENSG00000189171,1,28
1,153586731,153588808,S100A14,57402,6.0,ENSG00000189334,1,12
