chrom,start,end,starthg38,endhg38,ens_g,symbol,entrez_id
1,156707093,156710923,156737304,156741131,ENSG00000143314,MRPL24,79590
1,156692412,156697705,156721894,156728766,ENSG00000143319,ISG20L2,81875
1,156669399,156675459,156699617,156705816,ENSG00000143320,CRABP2,1382
1,156638555,156647189,156668762,156677407,ENSG00000132688,NES,10763
1,156611739,156629324,156642116,156659528,ENSG00000132692,BCAN,63827
1,156564099,156571279,156594300,156601479,ENSG00000160818,GPATCH4,54865
1,156549518,156556562,156579722,156587719,ENSG00000187862,TTC24,164118
1,156495196,156542396,156525404,156572565,ENSG00000183856,IQGAP3,128239
1,156433512,156460391,156463726,156483430,ENSG00000116604,MEF2D,4209
1,156390132,156390221,156420340,156420429,ENSG00000207933,MIR9-1,407046
1,156338979,156355013,156369210,156385219,ENSG00000132677,RHBG,57127
1,156776034,156786640,156806242,156816848,ENSG00000027869,SH2D2A,9047
1,156307104,156316785,156337313,156346995,ENSG00000163467,TSACC,128229
1,156268414,156269428,156298623,156299307,ENSG00000189030,VHLL,391104
1,156254069,156262234,156282947,156292443,ENSG00000163472,TMEM79,84283
1,156219014,156252620,156249223,156282825,ENSG00000198952,SMG5,23381
1,156213111,156217908,156243319,156248056,ENSG00000160781,PAQR6,79957
1,156211950,156213123,156242183,156243317,ENSG00000242252,BGLAP,632
1,156182778,156213123,156212981,156243332,ENSG00000260238,PMF1-BGLAP,100527963
1,156163729,156182587,156194103,156212796,ENSG00000160785,SLC25A44,9673
1,156123321,156147542,156150018,156177744,ENSG00000196189,SEMA4A,64218
1,156041803,156051789,156072012,156082465,ENSG00000254726,MEX3A,92312
1,156030965,156040295,156061159,156070504,ENSG00000132698,RAB25,57111
1,156024516,156028605,156054781,156058506,ENSG00000116586,LAMTOR2,28956
1,156005091,156023516,156035298,156053798,ENSG00000160803,UBQLN4,56893
1,155978838,155990758,156009047,156020951,ENSG00000163479,SSR2,6746
1,156278751,156308206,156308967,156338292,ENSG00000163468,CCT3,7203
1,155006281,155023406,155033823,155050930,ENSG00000163357,DCST1,149095
1,160287054,160288260,160317402,160317706,ENSG00000256340,SUMO1P3,474338
1,160336860,160342638,160367070,160372846,ENSG00000171786,NHLH1,4807
1,168664694,168698442,168695467,168729206,ENSG00000143196,DPT,1805
1,168545710,168551315,168576604,168582069,ENSG00000143184,XCL1,6375
1,168510002,168513235,168540767,168543997,ENSG00000143185,XCL2,6846
1,168344761,168344859,168375523,168375621,ENSG00000207974,MIR557,693142
1,168214818,168216668,168245564,168247343,ENSG00000214262,ANKRD36BP1,84832
1,168195254,168212088,168226003,168253021,ENSG00000213064,SFT2D2,375035
1,168250277,168283664,168280876,168314426,ENSG00000143178,TBX19,9095
1,168148170,168171351,168178961,168202109,ENSG00000143155,TIPRL,261726
1,168048779,168106811,168079541,168136930,ENSG00000143147,GPR161,23432
1,167905796,168045083,167936660,168075843,ENSG00000143164,DCAF6,55827
1,167885912,167906307,167916674,167937072,ENSG00000143158,MPC2,25874
1,167778624,167883453,167809385,167914134,ENSG00000143199,ADCY10,55811
1,167691186,167761156,167721981,167791919,ENSG00000197965,MPZL1,9019
1,167599473,167675486,167630231,167708696,ENSG00000198771,RCSD1,92241
1,167510250,167523056,167541012,167553762,ENSG00000143162,CREG1,8804
1,167399876,167487847,167430639,167518529,ENSG00000198821,CD247,919
1,167190065,167396582,167220885,167427340,ENSG00000143190,POU2F1,5451
1,167022081,167059868,167052835,167090377,ENSG00000143167,GPA33,10223
1,166958518,166991447,166989279,167022214,ENSG00000143194,MAEL,84944
1,166882440,166944561,166908186,166975540,ENSG00000143195,ILDR2,387597
1,166825748,166845654,166856509,166876264,ENSG00000152382,TADA1,117143
1,166808723,166823709,166839474,166856359,ENSG00000143157,POGK,57645
1,166573152,166594473,166603915,166625238,ENSG00000215834,FMO9P,116123
1,166123979,166124035,166154742,166154798,ENSG00000215952,MIR921,100126349
1,165796731,165880855,165827613,165911618,ENSG00000143179,UCK2,7371
1,165693527,165738159,165726794,165768868,ENSG00000143183,TMCO1,54499
1,168756178,168762126,168784011,168792886,ENSG00000225826,LINC00626,79100
1,169075946,169101960,169106682,169135009,ENSG00000143153,ATP1B1,481
1,169101768,169337186,169132530,169367797,ENSG00000143156,NME7,29922
1,169337193,169365780,169367969,169396540,ENSG00000117475,BLZF1,8548
1,171810617,172381857,171841499,172412717,ENSG00000197959,DNM3,26052
1,171669295,171711379,171700159,171742065,ENSG00000117533,VAMP4,8674
1,171604556,171621773,171635416,171652688,ENSG00000034971,MYOC,4653
1,171454665,171562650,171485555,171593511,ENSG00000117523,PRRC2C,23215
1,171308034,171310463,171339298,171339959,ENSG00000281879,TOP1P1,7151
1,171283485,171311223,171314182,171342084,ENSG00000076258,FMO4,2329
1,171217662,171255113,171248498,171285978,ENSG00000010932,FMO1,2326
1,171154387,171181822,171185299,171212686,ENSG00000094963,FMO2,2327
1,171106878,171130702,171137739,171161568,ENSG00000117507,FMO6P,388714
1,171070879,171070939,171101738,171101798,ENSG00000283598,MIR1295B,100847009
1,171070868,171070947,171101727,171101806,ENSG00000221390,MIR1295A,100302178
1,171060017,171086959,171090904,171117819,ENSG00000007933,FMO3,2328
1,170904611,171033906,170935525,170998806,ENSG00000117501,MROH9,80133
1,170633312,170708541,170664130,170739421,ENSG00000116132,PRRX1,5396
1,170120518,170120603,170151377,170151462,ENSG00000263390,MIR3119-2,100423010
1,170120518,170120603,170151377,170151462,ENSG00000283340,MIR3119-1,100422839
1,169890469,170043879,169921328,170074695,ENSG00000075945,KIFAP3,22920
1,169822214,169863100,169853073,169888888,ENSG00000000457,SCYL3,57147
1,169764549,169822229,169795039,169854080,ENSG00000000460,C1orf112,55732
1,169761669,169764061,169792528,169794907,ENSG00000171806,METTL18,92342
1,169691780,169703220,169722639,169734079,ENSG00000007908,SELE,6401
1,169659805,169680843,169690666,169711620,ENSG00000188404,SELL,6402
1,169558087,169599377,169588848,169630124,ENSG00000174175,SELP,6403
1,169481191,169555769,169511950,169586481,ENSG00000198734,F5,2153
1,169433148,169455208,169463908,169485944,ENSG00000117479,SLC19A2,10560
1,169364113,169396670,169395046,169460669,ENSG00000117477,CCDC181,57821
1,170501262,170522974,170532165,170553834,ENSG00000120370,GORAB,92344
1,160313062,160328742,160343382,160358949,ENSG00000162736,NCSTN,23385
1,165631448,165667900,165662215,165698562,ENSG00000143149,ALDH9A1,223
1,165513477,165533185,165543999,165563957,ENSG00000162763,LRRC52,440699
1,161196975,161197051,161227185,161227261,ENSG00000284035,MIR5187,100847090
1,161195832,161200407,161226059,161230746,ENSG00000158882,TOMM40L,84134
1,161192082,161193418,161222291,161223628,ENSG00000158874,APOA2,336
1,161185086,161189038,161215294,161219245,ENSG00000158869,FCER1G,2207
1,161171936,161184184,161197397,161214381,ENSG00000158864,NDUFS2,4720
1,161159537,161168845,161184301,161199054,ENSG00000158859,ADAMTS4,9507
1,161141099,161147758,161171310,161177968,ENSG00000158850,B4GALT3,8703
1,161136180,161141010,161166409,161171218,ENSG00000143224,PPOX,5498
1,161129253,161135516,161159478,161165723,ENSG00000143258,USP21,27005
1,161123533,161128646,161153977,161158856,ENSG00000143222,UFC1,51506
1,161090768,161102256,161120976,161132688,ENSG00000158796,DEDD,9191
1,161087861,161090984,161118104,161121194,ENSG00000158793,NIT1,4817
1,161070345,161087866,161100560,161118037,ENSG00000143256,PFDN2,5202
1,161068180,161070138,161098360,161100346,ENSG00000162755,KLHDC9,126823
1,161016731,161039760,161046947,161069666,ENSG00000186517,ARHGAP30,257106
1,161009040,161014727,161039250,161045977,ENSG00000158773,USF1,7391
1,160965000,160991133,160995210,161021152,ENSG00000158769,F11R,50848
1,160914815,160924589,160945024,160954809,ENSG00000158764,ITLN2,142683
1,160846329,160854960,160876539,160885180,ENSG00000179914,ITLN1,55600
1,160799949,160832692,160830159,160862887,ENSG00000122223,CD244,51744
1,160765863,160798045,160796173,160828255,ENSG00000122224,LY9,4063
1,160709076,160724601,160739246,160754821,ENSG00000026751,SLAMF7,57823
1,160650211,160681641,160678745,160711822,ENSG00000117091,CD48,962
1,160579890,160617081,160608105,160647044,ENSG00000117090,SLAMF1,6504
1,160510883,160549306,160541097,160579496,ENSG00000066294,CD84,8832
1,160454819,160493052,160485029,160523262,ENSG00000162739,SLAMF6,114836
1,160370363,160398468,160400563,160428670,ENSG00000162738,VANGL2,57216
1,161199455,161208000,161229668,161238203,ENSG00000143257,NR1I3,9970
1,161228516,161255240,161258744,161285450,ENSG00000248485,PCP4L1,654790
1,161274524,161279762,161304734,161309968,ENSG00000158887,MPZ,4359
1,161284165,161334535,161314380,161363206,ENSG00000143252,SDHC,6391
1,165370158,165414592,165400921,165445126,ENSG00000143171,RXRG,6258
1,165171103,165325478,165201866,165356715,ENSG00000162761,LMX1A,4009
1,164528596,164821060,164559183,164851831,ENSG00000185630,PBX1,5087
1,163291722,163325553,163321934,163355764,ENSG00000143228,NUF2,83540
1,163112088,163172963,163142298,163202916,ENSG00000232995,RGS5,8490
1,163038395,163046592,163069360,163076802,ENSG00000117152,RGS4,5999
1,162760495,162782608,162790701,162812823,ENSG00000132196,HSD17B7,51478
1,162602227,162750247,162632463,162787405,ENSG00000162733,DDR2,4921
1,162531295,162569633,162561532,162599837,ENSG00000117143,UAP1,6675
1,162467594,162499419,162497817,162529631,ENSG00000152332,UHMK1,127933
1,162365055,162381928,162395267,162412136,ENSG00000198574,SH2D1B,117157
1,162348695,162356608,162381727,162386812,ENSG00000239887,C1orf226,400793
1,162312335,162312430,162342545,162342640,ENSG00000207729,MIR556,693141
1,165600109,165625372,165631233,165656136,ENSG00000143198,MGST3,4259
1,162126896,162126972,162157106,162157182,ENSG00000266144,MIR4654,100616386
1,161952981,161993644,161983191,162023869,ENSG00000162745,OLFML2B,25903
1,161736033,161933860,161766319,161964070,ENSG00000118217,ATF6,22926
1,161719580,161726952,161749785,161757238,ENSG00000081721,DUSP12,11266
1,161692442,161697933,161721562,161728143,ENSG00000162746,FCRLB,127943
1,161676761,161684142,161706971,161714351,ENSG00000132185,FCRLA,84824
1,161653494,161655042,161683694,161685252,ENSG00000213075,RPL31P11,641311
1,161632904,161648444,161663142,161678654,ENSG00000072694,FCGR2B,2213
1,161592987,161601252,161623195,161631963,ENSG00000162747,FCGR3B,2215
1,161575848,161578341,161606290,161608217,ENSG00000288338,HSPA7,3311
1,161551128,161571010,161581339,161599803,ENSG00000229186,FCGR2C,9103
1,161511550,161519818,161541795,161550591,ENSG00000203747,FCGR3A,2214
1,161494035,161496687,161524539,161526894,ENSG00000173110,HSPA6,3310
1,161475204,161489360,161505429,161518558,ENSG00000143226,FCGR2A,2212
1,162039580,162339813,162069690,162370475,ENSG00000198929,NOS1AP,9722
1,172106018,172113975,172138396,172144840,ENSG00000196115,DNM3OS,100628315
1,154991002,155006257,155018526,155033781,ENSG00000163354,DCST2,127579
1,154966061,154966791,154993585,154994315,ENSG00000163352,LENEP,55891
1,149874871,149889434,149903317,149917844,ENSG00000159164,SV2A,9900
1,149871154,149872348,149887889,149900491,ENSG00000178096,BOLA1,51027
1,149754249,149764074,149782693,149791675,ENSG00000150337,FCGR1A,2209
1,148806014,148806799,144592892,144593652,ENSG00000275974,PPIAL4F,728945
1,148644010,148644795,144372874,144373634,ENSG00000271567,PPIAL4E,730262
1,148560846,148596267,144421389,144461669,ENSG00000266338,NBPF15,284565
1,148201751,148202536,145241414,145242174,ENSG00000289549,PPIAL4D,645142
1,147806602,147806678,148334478,148334554,ENSG00000283676,MIR5087,100847044
1,148250248,148346791,148531384,148596011,ENSG00000270629,NBPF14,25832
1,147400505,147465755,147928419,147993592,ENSG00000188092,GPR89B,51463
1,147374945,147381395,147902794,147909269,ENSG00000121634,GJA8,2703
1,147228331,147232714,147756199,147773362,ENSG00000265107,GJA5,2702
1,147119167,147142634,147642229,147670524,ENSG00000162836,ACP6,51205
1,147013181,147098015,147541500,147626216,ENSG00000116128,BCL9,607
1,146853913,146989699,147258884,147517875,ENSG00000278811,LINC00624,100289211
1,146714290,146767447,147242683,147295762,ENSG00000131778,CHD1L,9557
1,146657837,146697230,147186260,147225339,ENSG00000131781,FMO5,2330
1,146626684,146644129,147155105,147172470,ENSG00000131791,PRKAB2,5565
1,146571065,146585928,147099481,147124285,ENSG00000241684,NBPF13P,644861
1,145764594,145827103,145607987,145670650,ENSG00000117262,GPR89A,653519
1,145727665,145764206,145670984,145707368,ENSG00000174827,PDZK1,5174
1,145695797,145715565,145719498,145739288,ENSG00000117281,CD160,11126
1,145611035,145688776,145738867,145824095,ENSG00000265491,RNF115,27246
1,145592604,145610884,145824199,145844402,ENSG00000186141,POLR3C,10623
1,145586492,145589435,145845629,145848954,ENSG00000186364,NUDT17,200035
1,145575987,145586546,145848521,145859081,ENSG00000131788,PIAS3,10401
1,149895208,149900144,149923316,149927803,ENSG00000143368,SF3B4,10262
1,149900542,149908791,149928650,149936879,ENSG00000014914,MTMR11,10903
1,149912231,149982686,149937811,150010726,ENSG00000264522,OTUD7B,56957
1,150039341,150117505,150067381,150145288,ENSG00000136631,VPS45,11311
1,151104162,151119140,151131706,151146631,ENSG00000143434,SEMA6C,10500
1,151043079,151091007,151070760,151125542,ENSG00000143458,GABPB2,126626
1,151032150,151040973,151060396,151069544,ENSG00000213190,MLLT11,10962
1,151023446,151032125,151050970,151070325,ENSG00000197622,CDC42SE1,56882
1,151020258,151023871,151047750,151051420,ENSG00000143443,C1orf56,54964
1,151009028,151020076,151036585,151047720,ENSG00000163141,BNIPL,149428
1,150954498,150968114,150982291,150995634,ENSG00000143412,ANXA9,8416
1,150937648,150947479,150965172,150975003,ENSG00000143418,CERS2,29956
1,150898814,150937220,150926411,150964744,ENSG00000143379,SETDB1,9869
1,150782180,150849244,150809712,150876599,ENSG00000143437,ARNT,405
1,150768683,150780917,150796207,150808908,ENSG00000143387,CTSK,1513
1,150702671,150738433,150730187,150765778,ENSG00000163131,CTSS,1520
1,150670534,150693364,150698059,150720895,ENSG00000143452,HORMAD1,84072
1,145549208,145568526,145866563,145885866,ENSG00000198483,ANKRD35,148741
1,150618700,150669672,150646229,150697154,ENSG00000143457,GOLPH3L,55204
1,150547026,150552214,150563101,150579610,ENSG00000143384,MCL1,4170
1,150524404,150524490,150551928,150552014,ENSG00000264553,MIR4257,100422997
1,150521897,150533412,150549407,150560933,ENSG00000143382,ADAMTSL4,54507
1,150480486,150486265,150508108,150513789,ENSG00000143369,ECM1,1893
1,150459839,150480085,150487418,150507602,ENSG00000143374,TARS2,80222
1,150336989,150449041,150364146,150476566,ENSG00000163125,RPRD2,23248
1,150293927,150325704,150321532,150353233,ENSG00000117360,PRPF3,9129
1,150266268,150280819,150293860,150308979,ENSG00000266472,MRPS21,54460
1,150245182,150253335,150268199,150280916,ENSG00000118292,C1orf54,79630
1,150237798,150241609,150265403,150269016,ENSG00000117362,APH1A,51107
1,150230217,150237480,150257250,150265049,ENSG00000118298,CA14,23632
1,150190716,150208504,150218416,150236112,ENSG00000143401,ANP32E,81611
1,150122169,150131825,150149915,150160065,ENSG00000023902,PLEKHO1,51177
1,150594598,150602098,150622124,150629612,ENSG00000143420,ENSA,2029
1,151138497,151142773,151166143,151170296,ENSG00000163156,SCNM1,79005
1,145524989,145543868,145891207,145910050,ENSG00000143127,ITGA10,8515
1,145507556,145513535,145921555,145927484,ENSG00000265241,RBM8A,9939
1,117910084,118068320,117367448,117528872,ENSG00000198162,MAN1A2,10905
1,117686208,117753582,117143586,117210927,ENSG00000134258,VTCN1,79679
1,117653676,117664411,117111059,117121749,ENSG00000134253,TRIM45,80263
1,117637264,117637350,117094642,117094728,ENSG00000215930,MIR942,100126331
1,117602948,117645491,117060325,117107453,ENSG00000116830,TTF2,8458
1,117544371,117579173,117001759,117036552,ENSG00000134256,CD101,9398
1,117452688,117532972,116909915,116990353,ENSG00000134247,PTGFRN,5738
1,117297085,117311851,116754429,116769229,ENSG00000116824,CD2,914
1,117214370,117214449,116671748,116671827,ENSG00000261011,MIR320B1,100302117
1,117117019,117209578,116574407,116667733,ENSG00000143061,IGSF3,3321
1,117057155,117113715,116514533,116571026,ENSG00000116815,CD58,965
1,116915794,116947396,116373243,116404774,ENSG00000163399,ATP1A1,476
1,116654375,116677861,116111398,116138149,ENSG00000173212,MAB21L3,126868
1,116519118,116612675,115976512,116070054,ENSG00000163393,SLC22A15,55356
1,116378998,116383747,115836691,115843917,ENSG00000177551,NHLH2,4808
1,116242625,116311426,115700020,115768714,ENSG00000118729,CASQ2,845
1,116184573,116240845,115641969,115698221,ENSG00000173218,VANGL1,81839
1,115828536,115880857,115285916,115338770,ENSG00000134259,NGF,4803
1,115590632,115632121,115048010,115089503,ENSG00000134198,TSPAN2,10100
1,115572444,115576930,115029825,115034302,ENSG00000134200,TSHB,7252
1,115397454,115537990,114854862,114995370,ENSG00000198765,SYCP1,6847
1,115312104,115323308,114769478,114780685,ENSG00000052723,SIKE1,80143
1,115259533,115300671,114716922,114758003,ENSG00000009307,CSDE1,7812
1,115247084,115259515,114704468,114716771,ENSG00000213281,NRAS,4893
1,115215719,115238239,114673097,114695546,ENSG00000116748,AMPD1,270
1,115127195,115212732,114582847,114670111,ENSG00000175984,DENND2C,163259
1,115110180,115124265,114567556,114581615,ENSG00000116752,BCAS2,10286
1,118406106,118472302,117863484,117929621,ENSG00000196505,GDAP2,54834
1,118472371,118503049,117929738,117966543,ENSG00000065183,WDR3,10885
1,118496287,118727848,117953589,118185228,ENSG00000155761,SPAG17,200162
1,119425665,119532179,118883046,118988343,ENSG00000092607,TBX15,6913
1,145477084,145499091,145933422,145958017,ENSG00000271601,LIX1L,128077
1,145470507,145475647,145959440,145964575,ENSG00000272031,ANKRD34A,284615
1,145456235,145470387,145964689,145978848,ENSG00000121851,POLR3GL,84265
1,145438461,145442628,145992434,145996579,ENSG00000265972,TXNIP,10628
1,145096406,145116997,120150897,120176520,ENSG00000265808,SEC22B,9554
1,144851423,144995033,148889462,149033016,ENSG00000178104,PDE4DIP,9659
1,144610814,144612727,120432203,120434037,ENSG00000270392,PFN1P2,767846
1,143915747,144094477,144887287,145095329,ENSG00000196369,SRGAP2B,647135
1,143896451,143913143,145095973,145112696,ENSG00000215784,FAM72D,728833
1,143767143,143767881,148482547,148483302,ENSG00000236334,PPIAL4G,644591
1,121306423,121313686,121519131,121575702,ENSG00000231752,EMBP1,647121
1,121107151,121129827,143975086,144068350,ENSG00000226121,SRGAP2D,100996712
1,145516164,145523732,145911349,145918717,ENSG00000131779,PEX11B,8799
1,120926127,120935944,121087344,121095642,ENSG00000151631,FCGR1B,2210
1,120454175,120612317,119911552,120069662,ENSG00000134250,NOTCH2,4853
1,120436155,120439147,119893532,119896515,ENSG00000134249,ADAM30,11085
1,120336640,120354203,119794017,119811580,ENSG00000134193,REG4,83998
1,120290618,120311555,119748001,119768905,ENSG00000134240,HMGCS2,3158
1,120254418,120286849,119648410,119744190,ENSG00000092621,PHGDH,26227
1,120161999,120190390,119619376,119648266,ENSG00000143067,ZNF697,90874
1,120140324,120141914,119597701,119599271,ENSG00000260941,LINC00622,644242
1,120106502,120115199,119564065,119572067,ENSG00000280751,HSD3BP4,128102
1,120049825,120057681,119507209,119515054,ENSG00000203857,HSD3B1,3283
1,119957742,119965662,119414930,119423035,ENSG00000203859,HSD3B2,3284
1,119911401,119936751,119368778,119394128,ENSG00000116882,HAO2,51179
1,119573838,119683295,119031215,119140653,ENSG00000116874,WARS2,10352
1,120839004,120855681,121167645,121184340,ENSG00000188610,FAM72B,653820
1,154975105,154991001,155002656,155018522,ENSG00000160685,ZBTB7B,51043
1,151129104,151132225,151156648,151159749,ENSG00000163154,TNFAIP8L2,79626
1,151142462,151148547,151169986,151175981,ENSG00000163157,TMOD4,29765
1,153700566,153746555,153728049,153774808,ENSG00000143624,INTS3,65123
1,153651163,153666468,153678687,153693992,ENSG00000169418,NPR1,4881
1,153634263,153643504,153661787,153670993,ENSG00000143621,ILF2,3608
1,153631129,153634328,153658702,153661852,ENSG00000143553,SNAPIN,23557
1,153606457,153618782,153634065,153646306,ENSG00000160679,CHTOP,26097
1,153600872,153604513,153628433,153632039,ENSG00000160678,S100A1,6271
1,153591275,153600117,153618786,153628248,ENSG00000189171,S100A13,6284
1,153586731,153588808,153614254,153616986,ENSG00000189334,S100A14,57402
1,153579366,153585514,153606885,153613137,ENSG00000188643,S100A16,140576
1,153533584,153538306,153561339,153567890,ENSG00000196754,S100A2,6273
1,153519808,153521734,153547328,153549258,ENSG00000188015,S100A3,6274
1,153516094,153518282,153543620,153550136,ENSG00000196154,S100A4,6275
1,153509622,153514241,153537146,153541765,ENSG00000196420,S100A5,6276
1,153507075,153508717,153534598,153536244,ENSG00000197956,S100A6,6277
1,153430219,153433137,153457743,153460651,ENSG00000143556,S100A7,6278
1,153409470,153412503,153437057,153439949,ENSG00000211454,S100A7L2,645922
